iter	Passed	Remaining
257	446	1283
258	447	1279
259	448	1275
260	448	1271
261	449	1267
262	450	1263
263	451	1259
264	452	1256
265	454	1253
266	455	1250
267	456	1246
268	457	1242
269	458	1238
270	459	1235
271	460	1231
272	460	1227
273	461	1223
274	462	1220
275	463	1216
276	465	1214
277	466	1211
278	467	1207
279	467	1203
280	468	1199
281	469	1195
282	470	1191
283	471	1188
284	472	1184
285	473	1182
286	474	1178
287	475	1174
288	475	1170
289	476	1166
290	477	1163
291	478	1159
292	478	1155
293	480	1153
294	481	1150
295	482	1147
296	483	1143
297	483	1139
298	484	1136
299	485	1132
300	486	1129
301	487	1126
302	488	1122
303	489	1119
304	489	1115
305	490	1112
306	491	1108
307	492	1105
308	492	1102
309	493	1098
310	494	1095
311	495	1092
312	496	1088
313	496	1085
314	497	1082
315	498	1078
316	499	1075
317	499	1072
318	500	1069
319	501	1066
320	502	1063
321	503	1060
322	504	1057
323	505	1055
324	506	1051
325	507	1048
326	508	1045
327	508	1042
328	509	1039
329	510	1037
330	511	1034
331	512	1031
332	513	1028
333	514	1025
334	515	1022
335	516	1020
336	517	1017
337	518	1015
338	519	1012
339	520	1009
340	521	1007
341	521	1004
342	523	1001
343	523	999
344	524	996
345	525	993
346	526	990
347	527	987
348	528	985
349	529	982
350	529	979
351	530	977
352	531	974
353	532	971
354	533	969
355	534	966
356	535	964
357	536	961
358	536	958
359	537	956
360	538	953
361	539	950
362	540	947
363	540	945
364	541	942
365	542	939
366	543	937
367	544	934
368	544	931
369	545	929
370	546	926
371	547	924
372	548	922
373	549	919
374	550	917
375	551	914
376	553	914
377	554	911
378	555	909
379	555	906
380	556	904
381	557	902
382	558	900
383	559	897
384	560	895
385	561	893
386	562	891
387	563	888
388	564	886
389	565	884
390	566	881
391	567	879
392	568	877
393	568	874
394	569	872
395	570	870
396	571	867
397	572	865
398	573	863
399	574	861
400	574	858
401	575	856
402	576	854
403	577	852
404	578	849
405	579	847
406	580	845
407	581	843
408	582	841
409	583	839
410	583	836
411	584	834
412	585	832
413	586	830
414	588	829
415	589	826
416	590	825
417	591	822
418	592	821
419	593	819
420	594	817
421	595	815
422	596	813
423	597	811
424	598	809
425	599	807
426	600	805
427	601	803
428	602	801
429	603	800
430	604	798
431	605	796
432	606	794
433	607	792
434	608	790
435	609	788
436	610	786
437	611	784
438	612	782
439	613	780
440	614	778
441	615	777
442	616	775
443	617	773
444	618	771
445	619	769
446	620	767
447	621	765
448	622	763
449	622	761
450	623	759
451	624	757
452	625	755
453	626	753
454	627	751
455	628	749
456	628	747
457	629	745
458	630	743
459	631	741
460	632	739
461	633	737
462	634	735
463	635	733
464	635	731
465	636	729
466	637	727
467	638	725
468	639	723
469	640	722
470	641	720
471	641	718
472	642	716
473	643	714
